identifier,Category,Temperature L1,Product,Size,Temperature L2,Sugar,Milk,calories,caffeine,protein,sodium
12 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Small,Hot,Extra,Standard,160.0,108.0,22.0,80.0
12 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Small,Hot,Extra,Oat Milk,160.0,108.0,22.0,80.0
12 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Small,Hot,Regular,Standard,160.0,108.0,22.0,80.0
12 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Small,Hot,Regular,Oat Milk,160.0,108.0,22.0,80.0
12 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Small,Hot,Less,Standard,160.0,108.0,22.0,80.0
12 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Small,Hot,Less,Oat Milk,160.0,108.0,22.0,80.0
12 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Small,Hot,Half,Standard,160.0,108.0,22.0,80.0
12 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Small,Hot,Half,Oat Milk,160.0,108.0,22.0,80.0
12 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Small,Hot,Slight,Standard,160.0,108.0,22.0,80.0
12 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Small,Hot,Slight,Oat Milk,160.0,108.0,22.0,80.0
12 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Small,Hot,No,Standard,160.0,108.0,22.0,80.0
12 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Small,Hot,No,Oat Milk,160.0,108.0,22.0,80.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Regular,Extra,Standard,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Regular,Extra,Oat Milk,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Regular,Regular,Standard,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Regular,Regular,Oat Milk,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Regular,Less,Standard,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Regular,Less,Oat Milk,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Regular,Half,Standard,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Regular,Half,Oat Milk,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Regular,Slight,Standard,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Regular,Slight,Oat Milk,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Regular,No,Standard,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Regular,No,Oat Milk,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Less,Extra,Standard,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Less,Extra,Oat Milk,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Less,Regular,Standard,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Less,Regular,Oat Milk,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Less,Less,Standard,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Less,Less,Oat Milk,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Less,Half,Standard,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Less,Half,Oat Milk,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Less,Slight,Standard,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Less,Slight,Oat Milk,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Less,No,Standard,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,Less,No,Oat Milk,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,No,Extra,Standard,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,No,Extra,Oat Milk,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,No,Regular,Standard,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,No,Regular,Oat Milk,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,No,Less,Standard,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,No,Less,Oat Milk,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,No,Half,Standard,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,No,Half,Oat Milk,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,No,Slight,Standard,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,No,Slight,Oat Milk,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,No,No,Standard,130.0,74.0,2.0,65.0
12 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Small,No,No,Oat Milk,130.0,74.0,2.0,65.0
16 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Regular,Hot,Extra,Standard,230.0,148.0,3.0,120.0
16 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Regular,Hot,Extra,Oat Milk,230.0,148.0,3.0,120.0
16 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Regular,Hot,Regular,Standard,230.0,148.0,3.0,120.0
16 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Regular,Hot,Regular,Oat Milk,230.0,148.0,3.0,120.0
16 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Regular,Hot,Less,Standard,230.0,148.0,3.0,120.0
16 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Regular,Hot,Less,Oat Milk,230.0,148.0,3.0,120.0
16 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Regular,Hot,Half,Standard,230.0,148.0,3.0,120.0
16 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Regular,Hot,Half,Oat Milk,230.0,148.0,3.0,120.0
16 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Regular,Hot,Slight,Standard,230.0,148.0,3.0,120.0
16 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Regular,Hot,Slight,Oat Milk,230.0,148.0,3.0,120.0
16 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Regular,Hot,No,Standard,230.0,148.0,3.0,120.0
16 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Regular,Hot,No,Oat Milk,230.0,148.0,3.0,120.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Regular,Extra,Standard,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Regular,Extra,Oat Milk,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Regular,Regular,Standard,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Regular,Regular,Oat Milk,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Regular,Less,Standard,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Regular,Less,Oat Milk,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Regular,Half,Standard,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Regular,Half,Oat Milk,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Regular,Slight,Standard,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Regular,Slight,Oat Milk,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Regular,No,Standard,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Regular,No,Oat Milk,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Less,Extra,Standard,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Less,Extra,Oat Milk,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Less,Regular,Standard,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Less,Regular,Oat Milk,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Less,Less,Standard,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Less,Less,Oat Milk,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Less,Half,Standard,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Less,Half,Oat Milk,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Less,Slight,Standard,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Less,Slight,Oat Milk,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Less,No,Standard,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,Less,No,Oat Milk,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,No,Extra,Standard,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,No,Extra,Oat Milk,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,No,Regular,Standard,190.0,108.0,2.0,100.0
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,No,Regular,Oat Milk,190.0,108.0,2.0,100.0
