Identifier,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbs (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Caffeine (mg),Ingredient Statement,Allergens
16 oz Jasmine Brewed Hot Tea,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,40,96,"Jasmie Green Tea (Water, Jasmine Green Tea)",
16 oz Peach Brewed Hot Tea,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,30,80,"Peach Oolong Tea (Water, Peach Oolong Tea)",
16 oz Ceylon Extracted Hot Tea,0,0,0,0,0,0,1,0,0,0,0,0.0,10,0.0,40,51,"Ceylon Tea (Water, Ceylon Tea)",
16 oz Roasted Oolong Extracted Hot Tea,0,0,0,0,0,0,0,0,0,0,0,0.0,10,0.0,50,34,"Roasted Oolong Tea (Water, Roasted Oolong Tea)",
16 oz Roasted Black Extracted Hot Tea,0,0,0,0,0,0,1,0,0,0,0,0.0,10,0.0,40,46,"Roasted Black Tea (Water, Roasted Black Tea)",
22 oz Jasmine Brewed Hot Tea,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,50,120,"Jasmie Green Tea (Water, Jasmine Green Tea)",
22 oz Peach Brewed Hot Tea,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,40,110,"Peach Oolong Tea (Water, Peach Oolong Tea)",
22 oz Ceylon Extracted Hot Tea,0,0,0,0,0,0,1,0,0,0,0,0.0,20,0.0,60,70,"Ceylon Tea (Water, Ceylon Tea)",
22 oz Roasted Oolong Extracted Hot Tea,0,0,0,0,0,0,0,0,0,0,0,0.0,20,0.0,60,46,"Roasted Oolong Tea (Water, Roasted Oolong Tea)",
22 oz Roasted Black Extracted Hot Tea,0,0,0,0,0,0,1,0,0,0,0,0.0,20,0.0,50,64,"Roasted Black Tea (Water, Roasted Black Tea)",
16 oz Jasmine Brewed Iced Tea,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,40,84,"Jasmie Green Tea (Water, Jasmine Green Tea)",
16 oz Peach Brewed Iced Tea,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,30,75,"Peach Oolong Tea (Water, Peach Oolong Tea)",
16 oz Ceylon Extracted Iced Tea,0,0,0,0,0,0,1,0,0,0,0,0.0,10,0.0,50,52,"Ceylon Tea (Water, Ceylon Tea)",
16 oz Roasted Oolong Extracted Iced Tea,0,0,0,0,0,0,1,0,0,0,0,0.0,10,0.0,40,33,"Roasted Oolong Tea (Water, Roasted Oolong Tea)",
16 oz Roasted Black Extracted Iced Tea,0,0,0,0,0,0,1,0,0,0,0,0.0,10,0.0,40,43,"Roasted Black Tea (Water, Roasted Black Tea)",
22 oz Jasmine Brewed Iced Tea,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,50,115,"Jasmie Green Tea (Water, Jasmine Green Tea)",
22 oz Peach Brewed Iced Tea,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,30,103,"Peach Oolong Tea (Water, Peach Oolong Tea)",
22 oz Ceylon Extracted Iced Tea,0,0,0,0,0,0,1,0,0,0,0,0.0,20,0.0,60,72,"Ceylon Tea (Water, Ceylon Tea)",
22 oz Roasted Oolong Extracted Iced Tea,0,0,0,0,0,0,1,0,0,0,0,0.0,20,0.0,50,46,"Roasted Oolong Tea (Water, Roasted Oolong Tea)",
22 oz Roasted Black Extracted Iced Tea,0,0,0,0,0,0,1,0,0,0,0,0.0,20,0.0,50,59,"Roasted Black Tea (Water, Roasted Black Tea)",
