Product Name,Temperature L1,nutrition_sheet_name
BOYA Tea Latte,Ice,Tea Latte (Brewed Jasmine)
Peach Oolong Tea Latte,Ice,Tea Latte (Brewed Peach)
Roasted Black Tea Latte,Ice,Tea Latte (extracted Roasted Black)
Ceylon Black Tea Latte,Ice,Tea Latte (extracted Ceylon)
Roasted Oolong Tea Latte,Ice,Tea Latte (extracted Roasted Oolong)
Jasmine Green Tea,Hot,Jasmine Brewed Hot Tea
Peach Oolong Tea,Hot,Peach Brewed Hot Tea
Roasted Black Tea,Hot,Roasted Black Extracted Hot Tea
Ceylon Black Tea,Hot,Ceylon Extracted Hot Tea
Roasted Oolong Tea,Hot,Roasted Oolong Extracted Hot Tea
Jasmine Green Tea,Ice,Jasmine Brewed Iced Tea
Peach Oolong Tea,Ice,Peach Brewed Iced Tea
Roasted Black Tea,Ice,Roasted Black Extracted Iced Tea
Ceylon Black Tea,Ice,Ceylon Extracted Iced Tea
Roasted Oolong Tea,Ice,Roasted Oolong Extracted Iced Tea
Jasmine Green Lemon Tea,Ice,Jasmine Brewed Lemon Tea
Peach Oolong Lemon Tea,Ice,Peach Brewed Lemon Tea
Roasted Black Lemon Tea,Ice,Roasted Black Extracted Lemon Tea
Caramel Tea Frappe,Ice,Caramel Tea Frappe (extracted Roasted Oolong)
Roasted Oolong Lemon Tea,Ice,Roasted Oolong Extracted Lemon Tea
Ceylon Black Lemon Tea,Ice,Ceylon Extracted Lemon Tea
