Product Name,Temperature L1,Temperature L2,Size,Ounce,Category
Jasmine Green Tea (Bo Ya) Latte,Hot,Hot,Small,12 oz,Tea Latte
Jasmine Green Tea (Bo Ya) Latte,Hot,Hot,Regular,16 oz,Tea Latte
Jasmine Green Tea (Bo Ya) Latte,Hot,Hot,Large,22 oz,Tea Latte
Jasmine Green Tea (Bo Ya) Latte,Ice,Regular,Small,12 oz,Tea Latte
Jasmine Green Tea (Bo Ya) Latte,Ice,Regular,Regular,16 oz,Tea Latte
Jasmine Green Tea (Bo Ya) Latte,Ice,Regular,Large,22 oz,Tea Latte
Jasmine Green Tea (Bo Ya) Latte,Ice,Less,Small,12 oz,Tea Latte
Jasmine Green Tea (Bo Ya) Latte,Ice,Less,Regular,16 oz,Tea Latte
Jasmine Green Tea (Bo Ya) Latte,Ice,Less,Large,22 oz,Tea Latte
Jasmine Green Tea (Bo Ya) Latte,Ice,No,Small,12 oz,Tea Latte
Jasmine Green Tea (Bo Ya) Latte,Ice,No,Regular,16 oz,Tea Latte
Jasmine Green Tea (Bo Ya) Latte,Ice,No,Large,22 oz,Tea Latte
Peach Oolong Tea Latte,Hot,Hot,Small,12 oz,Tea Latte
Peach Oolong Tea Latte,Hot,Hot,Regular,16 oz,Tea Latte
Peach Oolong Tea Latte,Hot,Hot,Large,22 oz,Tea Latte
Peach Oolong Tea Latte,Ice,Regular,Small,12 oz,Tea Latte
Peach Oolong Tea Latte,Ice,Regular,Regular,16 oz,Tea Latte
Peach Oolong Tea Latte,Ice,Regular,Large,22 oz,Tea Latte
Peach Oolong Tea Latte,Ice,Less,Small,12 oz,Tea Latte
Peach Oolong Tea Latte,Ice,Less,Regular,16 oz,Tea Latte
Peach Oolong Tea Latte,Ice,Less,Large,22 oz,Tea Latte
Peach Oolong Tea Latte,Ice,No,Small,12 oz,Tea Latte
Peach Oolong Tea Latte,Ice,No,Regular,16 oz,Tea Latte
Peach Oolong Tea Latte,Ice,No,Large,22 oz,Tea Latte
Roasted Black Tea Latte,Hot,Hot,Small,12 oz,Tea Latte
Roasted Black Tea Latte,Hot,Hot,Regular,16 oz,Tea Latte
Roasted Black Tea Latte,Hot,Hot,Large,22 oz,Tea Latte
Roasted Black Tea Latte,Ice,Regular,Small,12 oz,Tea Latte
Roasted Black Tea Latte,Ice,Regular,Regular,16 oz,Tea Latte
Roasted Black Tea Latte,Ice,Regular,Large,22 oz,Tea Latte
