Product Name,Temperature L1,Temperature L2,Size,Ounce,Category
BOYA Tea Latte,Hot,Hot,Small,12 oz,Tea Latte
BOYA Tea Latte,Hot,Hot,Regular,16 oz,Tea Latte
BOYA Tea Latte,Hot,Hot,Large,22 oz,Tea Latte
BOYA Tea Latte,Ice,Regular,Small,12 oz,Tea Latte
BOYA Tea Latte,Ice,Regular,Regular,16 oz,Tea Latte
BOYA Tea Latte,Ice,Regular,Large,22 oz,Tea Latte
BOYA Tea Latte,Ice,Less,Small,12 oz,Tea Latte
BOYA Tea Latte,Ice,Less,Regular,16 oz,Tea Latte
BOYA Tea Latte,Ice,Less,Large,22 oz,Tea Latte
BOYA Tea Latte,Ice,No,Small,12 oz,Tea Latte
BOYA Tea Latte,Ice,No,Regular,16 oz,Tea Latte
BOYA Tea Latte,Ice,No,Large,22 oz,Tea Latte
Peach Oolong Tea Latte,Hot,Hot,Small,12 oz,Tea Latte
Peach Oolong Tea Latte,Hot,Hot,Regular,16 oz,Tea Latte
Peach Oolong Tea Latte,Hot,Hot,Large,22 oz,Tea Latte
Peach Oolong Tea Latte,Ice,Regular,Small,12 oz,Tea Latte
Peach Oolong Tea Latte,Ice,Regular,Regular,16 oz,Tea Latte
Peach Oolong Tea Latte,Ice,Regular,Large,22 oz,Tea Latte
Peach Oolong Tea Latte,Ice,Less,Small,12 oz,Tea Latte
Peach Oolong Tea Latte,Ice,Less,Regular,16 oz,Tea Latte
Peach Oolong Tea Latte,Ice,Less,Large,22 oz,Tea Latte
Peach Oolong Tea Latte,Ice,No,Small,12 oz,Tea Latte
Peach Oolong Tea Latte,Ice,No,Regular,16 oz,Tea Latte
Peach Oolong Tea Latte,Ice,No,Large,22 oz,Tea Latte
Roasted Black Tea Latte,Hot,Hot,Small,12 oz,Tea Latte
Roasted Black Tea Latte,Hot,Hot,Regular,16 oz,Tea Latte
Roasted Black Tea Latte,Hot,Hot,Large,22 oz,Tea Latte
Roasted Black Tea Latte,Ice,Regular,Small,12 oz,Tea Latte
Roasted Black Tea Latte,Ice,Regular,Regular,16 oz,Tea Latte
Roasted Black Tea Latte,Ice,Regular,Large,22 oz,Tea Latte
Roasted Black Tea Latte,Ice,Less,Small,12 oz,Tea Latte
Roasted Black Tea Latte,Ice,Less,Regular,16 oz,Tea Latte
Roasted Black Tea Latte,Ice,Less,Large,22 oz,Tea Latte
Roasted Black Tea Latte,Ice,No,Small,12 oz,Tea Latte
Roasted Black Tea Latte,Ice,No,Regular,16 oz,Tea Latte
Roasted Black Tea Latte,Ice,No,Large,22 oz,Tea Latte
Ceylon Black Tea Latte,Hot,Hot,Small,12 oz,Tea Latte
Ceylon Black Tea Latte,Hot,Hot,Regular,16 oz,Tea Latte
Ceylon Black Tea Latte,Hot,Hot,Large,22 oz,Tea Latte
Ceylon Black Tea Latte,Ice,Regular,Small,12 oz,Tea Latte
Ceylon Black Tea Latte,Ice,Regular,Regular,16 oz,Tea Latte
Ceylon Black Tea Latte,Ice,Regular,Large,22 oz,Tea Latte
Ceylon Black Tea Latte,Ice,Less,Small,12 oz,Tea Latte
Ceylon Black Tea Latte,Ice,Less,Regular,16 oz,Tea Latte
Ceylon Black Tea Latte,Ice,Less,Large,22 oz,Tea Latte
Ceylon Black Tea Latte,Ice,No,Small,12 oz,Tea Latte
Ceylon Black Tea Latte,Ice,No,Regular,16 oz,Tea Latte
Ceylon Black Tea Latte,Ice,No,Large,22 oz,Tea Latte
Roasted Oolong Tea Latte,Hot,Hot,Small,12 oz,Tea Latte
Roasted Oolong Tea Latte,Hot,Hot,Regular,16 oz,Tea Latte
Roasted Oolong Tea Latte,Hot,Hot,Large,22 oz,Tea Latte
Roasted Oolong Tea Latte,Ice,Regular,Small,12 oz,Tea Latte
Roasted Oolong Tea Latte,Ice,Regular,Regular,16 oz,Tea Latte
Roasted Oolong Tea Latte,Ice,Regular,Large,22 oz,Tea Latte
Roasted Oolong Tea Latte,Ice,Less,Small,12 oz,Tea Latte
Roasted Oolong Tea Latte,Ice,Less,Regular,16 oz,Tea Latte
Roasted Oolong Tea Latte,Ice,Less,Large,22 oz,Tea Latte
Roasted Oolong Tea Latte,Ice,No,Small,12 oz,Tea Latte
Roasted Oolong Tea Latte,Ice,No,Regular,16 oz,Tea Latte
Roasted Oolong Tea Latte,Ice,No,Large,22 oz,Tea Latte
Jasmine Green Tea,Hot,Hot,Small,12 oz,Tea
Jasmine Green Tea,Hot,Hot,Regular,16 oz,Tea
