Product Name,Temperature L1,Temperature L2,Size,Ounce,Category,product_name_in_nutrition,aaron_sheet_name
BOYA Tea Latte,Hot,Hot,Small,12 oz,Tea Latte,unmapped,unmapped
BOYA Tea Latte,Hot,Hot,Regular,16 oz,Tea Latte,unmapped,unmapped
BOYA Tea Latte,Hot,Hot,Large,22 oz,Tea Latte,unmapped,unmapped
BOYA Tea Latte,Ice,Regular,Small,12 oz,Tea Latte,Tea Latte (Brewed Jasmine),12 oz Iced Tea Latte (brewed Jasmine)
BOYA Tea Latte,Ice,Regular,Regular,16 oz,Tea Latte,Tea Latte (Brewed Jasmine),16 oz Iced Tea Latte (brewed Jasmine)
BOYA Tea Latte,Ice,Regular,Large,22 oz,Tea Latte,Tea Latte (Brewed Jasmine),22 oz Iced Tea Latte (brewed Jasmine)
BOYA Tea Latte,Ice,Less,Small,12 oz,Tea Latte,Tea Latte (Brewed Jasmine),12 oz Iced Tea Latte (brewed Jasmine)
BOYA Tea Latte,Ice,Less,Regular,16 oz,Tea Latte,Tea Latte (Brewed Jasmine),16 oz Iced Tea Latte (brewed Jasmine)
BOYA Tea Latte,Ice,Less,Large,22 oz,Tea Latte,Tea Latte (Brewed Jasmine),22 oz Iced Tea Latte (brewed Jasmine)
BOYA Tea Latte,Ice,No,Small,12 oz,Tea Latte,Tea Latte (Brewed Jasmine),12 oz Iced Tea Latte (brewed Jasmine)
BOYA Tea Latte,Ice,No,Regular,16 oz,Tea Latte,Tea Latte (Brewed Jasmine),16 oz Iced Tea Latte (brewed Jasmine)
BOYA Tea Latte,Ice,No,Large,22 oz,Tea Latte,Tea Latte (Brewed Jasmine),22 oz Iced Tea Latte (brewed Jasmine)
Peach Oolong Tea Latte,Hot,Hot,Small,12 oz,Tea Latte,unmapped,unmapped
Peach Oolong Tea Latte,Hot,Hot,Regular,16 oz,Tea Latte,unmapped,unmapped
Peach Oolong Tea Latte,Hot,Hot,Large,22 oz,Tea Latte,unmapped,unmapped
Peach Oolong Tea Latte,Ice,Regular,Small,12 oz,Tea Latte,Tea Latte (Brewed Peach),12 oz Hot Tea Latte (Brewed Peach)
